,LATDD83,LONGDD83,YEAR,MONTH,DAY,fire,TEMP_MAX,TEMP_MIN,AVG_RELATIVE_HUMIDITY,AVG_10M_WIND,AVG_100M_WIND,AVG_PRECIPITATION,APPARENT_TEMP,CLOUD_LOW,CLOUD_HIGH,CLOUD_MID,CLOUD,AVG_WEATHER_CONDITION,AVG_SOIL_TEMP,AVG_SOIL_MOISTURE,ELEVATION,NDVI
0,-82.20386,39.47845,2023,4,12,1,-51.50559997558594,-58.43560028076172,65.69498443603516,19.08560371398925,25.577194213867188,0.0,-67.84381103515625,100.0,0.0,80.875,100.0,3.0,-53.53060531616211,0.1959999948740005,3391.0,
1,34.72056,-111.53972,2023,11,4,1,70.9448013305664,39.62480163574219,24.381820678710938,9.222620964050291,12.27741527557373,0.0,44.72649765014648,0.0,0.0416666679084301,0.0,0.0416666679084301,0.0,52.19479751586914,0.1201249957084655,1965.0,0.5227
2,34.76153,-111.64488,2023,5,16,1,77.27989959716797,57.47990036010742,42.6301155090332,12.152897834777832,16.95023536682129,0.2583333253860473,61.383636474609375,0.125,23.875,28.875,45.04166793823242,1.0,70.52239990234375,0.1132499948143959,1665.0,0.4192
3,34.89198,-111.85254,2023,8,9,1,79.36790466308594,63.79790115356445,62.07550430297852,5.727085113525391,8.178755760192871,0.0749999955296516,74.8415298461914,1.7083333730697632,42.08333206176758,20.875,52.375,1.0,77.1854019165039,0.3217500150203705,1393.0,0.3673
4,34.91683,-111.75317,2023,8,1,1,76.57520294189453,56.59519958496094,68.5749282836914,8.243949890136719,11.735783576965332,0.0041666668839752,64.54815673828125,0.8333333134651184,36.33333206176758,20.20833396911621,48.20833206176758,0.0,65.4864501953125,0.2573750019073486,2126.0,0.5356000000000001
5,34.98233,-111.74717,2023,6,20,1,80.65850067138672,54.91849899291992,19.12763786315918,16.511638641357422,28.41678047180176,0.0,61.69047164916992,0.0,11.75,3.5416667461395264,15.375,0.0,68.14474487304688,0.1557916700839996,1624.0,0.5164
6,34.89108,-111.67787,2023,10,29,1,52.6171989440918,34.437198638916016,49.122650146484375,16.333559036254883,26.76897621154785,0.0,34.49794006347656,1.625,0.0,1.5,2.625,0.0,47.4496955871582,0.1573333293199539,1966.0,0.5287000000000001
7,34.8893,-111.5126,2023,7,24,1,83.77970123291016,61.99970245361328,40.76950454711914,10.227632522583008,16.22880744934082,0.058333333581686,69.86914825439453,0.0833333358168602,54.04166793823242,14.875,65.375,3.0,73.69595336914062,0.1136249974370002,2249.0,0.528
8,35.42668,-111.75882,2023,7,24,1,79.5416030883789,59.29159927368164,42.86271286010742,9.062458038330078,14.493807792663574,0.1375000029802322,66.16708374023438,0.4166666567325592,75.58333587646484,11.583333015441896,76.54166412353516,3.0,69.58160400390625,0.1297916620969772,2415.0,0.5086
9,35.02838,-111.74217,2023,7,13,1,89.43709564208984,58.20709991455078,40.68665313720703,8.034331321716309,13.66308879852295,0.0,74.63506317138672,0.0,11.916666984558104,16.625,29.125,1.0,72.8246078491211,0.1713749915361404,1869.0,0.5820000000000001
10,34.70853,-111.20633,2023,7,17,1,94.8874969482422,65.90750122070312,24.78047180175781,13.889522552490234,22.2473201751709,0.0,74.83673858642578,0.0,24.91666603088379,8.708333015441895,26.75,0.0,82.29125213623047,0.0943333283066749,2060.0,0.4132
11,34.84608,-111.84533,2023,10,16,1,84.89569854736328,51.595699310302734,23.54033470153809,7.33062744140625,7.66229772567749,0.0,60.92841720581055,0.0,0.0,0.0,0.0,0.0,67.30069732666016,0.2616666555404663,1285.0,0.3634
12,34.95297,-111.85722,2023,5,21,1,75.0739974975586,50.68399810791016,48.026180267333984,9.779057502746582,11.131317138671877,0.0041666668839752,59.40655517578125,0.0,2.0,10.416666984558104,14.25,0.0,63.16400146484375,0.1993749886751175,1582.0,0.5285000000000001
13,35.19498,-111.31347,2023,6,6,1,80.17520141601562,58.21520233154297,16.248027801513672,23.306066513061523,34.62794494628906,0.0041666668839752,59.35593032836914,0.0,33.95833206176758,32.20833206176758,58.25,3.0,76.34645080566406,0.1607499867677688,1807.0,0.2103
